id,tier,preview,uk,en,de,pl,es,fr
kettle,full,,Чайник,Kettle,Wasserkessel,Czajnik,Tetera,Bouilloire
fridge,full,,Холодильник,Fridge,Kühlschrank,Lodówka,Nevera,Frigo
sofa,full,,Диван,Sofa,Sofa,Kanapa,Sofá,Canapé
pillow,full,,Подушка,Pillow,Kissen,Poduszka,Almohada,Oreiller
candle,full,,Свічка,Candle,Kerze,Świeca,Vela,Bougie
box,full,,Коробка,Box,Schachtel,Pudełko,Caja,Boîte
towel,full,,Рушник,Towel,Handtuch,Ręcznik,Toalla,Serviette
bathtub,full,,Ванна,Bathtub,Badewanne,Wanna,Bañera,Baignoire
broom,full,,Віник,Broom,Besen,Miotła,Escoba,Balai
bucket,full,,Відро,Bucket,Eimer,Wiadro,Cubo,Seau
computer,full,,Комп'ютер,Computer,Computer,Komputer,Ordenador,Ordinateur
camera,full,,Фотоапарат,Camera,Kamera,Aparat,Cámara,Appareil photo
scissors,full,,Ножиці,Scissors,Schere,Nożyczki,Tijeras,Ciseaux
cap,full,,Кепка,Cap,Kappe,Czapka z daszkiem,Gorra,Casquette
scarf,full,,Шарф,Scarf,Schal,Szalik,Bufanda,Écharpe
mittens,full,,Рукавиці,Mittens,Fäustlinge,Rękawiczki,Manoplas,Moufles
jacket,full,,Куртка,Jacket,Jacke,Kurtka,Chaqueta,Veste
dress,full,,Сукня,Dress,Kleid,Sukienka,Vestido,Robe
t_shirt,full,,Футболка,T-shirt,T-Shirt,Koszulka,Camiseta,Tee-shirt
trousers,full,,Штани,Pants,Hose,Spodnie,Pantalones,Pantalon
sneakers,full,,Кросівки,Sneakers,Turnschuhe,Trampki,Zapatillas,Baskets
blocks,full,,Кубики,Blocks,Bauklötze,Klocki,Bloques,Cubes
swing,full,,Гойдалка,Swing,Schaukel,Huśtawka,Columpio,Balançoire
slide,full,,Гірка,Slide,Rutsche,Zjeżdżalnia,Tobogán,Toboggan
scooter,full,,Самокат,Scooter,Roller,Hulajnoga,Patinete,Trottinette
sled,full,,Санки,Sled,Schlitten,Sanki,Trineo,Luge
toy_car,full,,Іграшкова машинка,Toy car,Spielzeugauto,Samochodzik,Cochecito,Petite voiture
boat,full,,Човен,Boat,Boot,Łódka,Barca,Barque
motorcycle,full,,Мотоцикл,Motorcycle,Motorrad,Motocykl,Moto,Moto
truck,full,,Вантажівка,Truck,Lastwagen,Ciężarówka,Camión,Camion
helicopter,full,,Гелікоптер,Helicopter,Hubschrauber,Helikopter,Helicóptero,Hélicoptère
ambulance,full,,Швидка допомога,Ambulance,Krankenwagen,Karetka,Ambulancia,Ambulance
fire_truck,full,,Пожежна машина,Fire truck,Feuerwehrauto,Wóz strażacki,Camión de bomberos,Camion de pompiers
police_car,full,,Поліцейська машина,Police car,Polizeiauto,Radiowóz,Coche de policía,Voiture de police
snowflake,full,,Сніжинка,Snowflake,Schneeflocke,Płatek śniegu,Copo de nieve,Flocon de neige
mountain,full,,Гора,Mountain,Berg,Góra,Montaña,Montagne
fire,full,,Вогонь,Fire,Feuer,Ogień,Fuego,Feu
leaf,full,,Листок,Leaf,Blatt,Liść,Hoja,Feuille
sunflower,full,,Соняшник,Sunflower,Sonnenblume,Słonecznik,Girasol,Tournesol
cactus,full,,Кактус,Cactus,Kaktus,Kaktus,Cactus,Cactus
eye,full,,Око,Eye,Auge,Oko,Ojo,Œil
nose,full,,Ніс,Nose,Nase,Nos,Nariz,Nez
mouth,full,,Рот,Mouth,Mund,Usta,Boca,Bouche
ear,full,,Вухо,Ear,Ohr,Ucho,Oreja,Oreille
tooth,full,,Зуб,Tooth,Zahn,Ząb,Diente,Dent
piano,full,,Піаніно,Piano,Klavier,Pianino,Piano,Piano
soccer_ball,full,,Футбольний м'яч,Soccer ball,Fußball,Piłka nożna,Balón de fútbol,Ballon de foot
hammer,full,,Молоток,Hammer,Hammer,Młotek,Martillo,Marteau
baby,full,,Малюк,Baby,Baby,Dzidziuś,Bebé,Bébé
boy,full,,Хлопчик,Boy,Junge,Chłopiec,Niño,Garçon
girl,full,,Дівчинка,Girl,Mädchen,Dziewczynka,Niña,Fille
grandma,full,,Бабуся,Grandma,Oma,Babcia,Abuela,Mamie
grandpa,full,,Дідусь,Grandpa,Opa,Dziadek,Abuelo,Papy
doctor,full,,Лікарка,Doctor,Ärztin,Lekarka,Doctora,Médecin
firefighter,full,,Пожежник,Firefighter,Feuerwehrmann,Strażak,Bombero,Pompier
castle,full,yes,Замок,Castle,Burg,Zamek,Castillo,Château
robot,full,,Робот,Robot,Roboter,Robot,Robot,Robot
dragon,full,yes,Дракон,Dragon,Drache,Smok,Dragón,Dragon
unicorn,full,yes,Єдиноріг,Unicorn,Einhorn,Jednorożec,Unicornio,Licorne
puppy,full,,Цуценя,Puppy,Welpe,Szczeniak,Cachorro,Chiot
kitten,full,,Кошеня,Kitten,Kätzchen,Kotek,Gatito,Chaton
pony,full,,Поні,Pony,Pony,Kucyk,Poni,Poney
polar_bear,full,,Білий ведмідь,Polar bear,Eisbär,Niedźwiedź polarny,Oso polar,Ours polaire
swan,full,,Лебідь,Swan,Schwan,Łabędź,Cisne,Cygne
peacock,full,,Павич,Peacock,Pfau,Paw,Pavo real,Paon
pigeon,full,,Голуб,Pigeon,Taube,Gołąb,Paloma,Pigeon
nest,full,,Гніздо,Nest,Nest,Gniazdo,Nido,Nid
feather,full,,Перо,Feather,Feder,Pióro,Pluma,Plume
starfish,full,,Морська зірка,Starfish,Seestern,Rozgwiazda,Estrella de mar,Étoile de mer
seashell,full,,Мушля,Seashell,Muschel,Muszla,Concha,Coquillage
ant,full,,Мураха,Ant,Ameise,Mrówka,Hormiga,Fourmi
beetle,full,,Жук,Beetle,Käfer,Chrząszcz,Escarabajo,Scarabée
raspberry,full,,Малина,Raspberry,Himbeere,Malina,Frambuesa,Framboise
tangerine,full,,Мандарин,Tangerine,Mandarine,Mandarynka,Mandarina,Mandarine
bell_pepper,full,,Перець,Pepper,Paprika,Papryka,Pimiento,Poivron
peas,full,,Горох,Peas,Erbsen,Groszek,Guisantes,Petits pois
broccoli,full,,Броколі,Broccoli,Brokkoli,Brokuł,Brócoli,Brocoli
sausage,full,,Сосиска,Sausage,Würstchen,Parówka,Salchicha,Saucisse
hamburger,full,,Гамбургер,Burger,Hamburger,Hamburger,Hamburguesa,Hamburger
honey,full,,Мед,Honey,Honig,Miód,Miel,Miel
donut,full,,Пончик,Donut,Donut,Pączek,Dónut,Beignet
popcorn,full,,Попкорн,Popcorn,Popcorn,Popcorn,Palomitas,Pop-corn
fries,full,,Картопля фрі,French fries,Pommes,Frytki,Patatas fritas,Frites
bottle,full,,Пляшка,Bottle,Flasche,Butelka,Botella,Bouteille
frying_pan,full,,Сковорідка,Frying pan,Pfanne,Patelnia,Sartén,Poêle
bowl,full,,Миска,Bowl,Schüssel,Miska,Cuenco,Bol
basket,full,,Кошик,Basket,Korb,Koszyk,Cesta,Panier
wardrobe,full,,Шафа,Wardrobe,Schrank,Szafa,Armario,Armoire
light_bulb,full,,Лампочка,Light bulb,Glühbirne,Żarówka,Bombilla,Ampoule
mirror,full,,Дзеркало,Mirror,Spiegel,Lustro,Espejo,Miroir
blanket,full,,Ковдра,Blanket,Decke,Koc,Manta,Couverture
bench,full,,Лавка,Bench,Bank,Ławka,Banco,Banc
toilet,full,,Унітаз,Toilet,Toilette,Toaleta,Inodoro,Toilettes
vacuum,full,,Пилосос,Vacuum cleaner,Staubsauger,Odkurzacz,Aspiradora,Aspirateur
washing_machine,full,,Пральна машина,Washing machine,Waschmaschine,Pralka,Lavadora,Machine à laver
rubber_duck,full,,Гумова качечка,Rubber duck,Quietscheente,Gumowa kaczuszka,Patito de goma,Canard en plastique
headphones,full,,Навушники,Headphones,Kopfhörer,Słuchawki,Auriculares,Casque audio
toilet_paper,full,,Туалетний папір,Toilet paper,Klopapier,Papier toaletowy,Papel higiénico,Papier toilette
trash_can,full,,Смітник,Trash can,Mülleimer,Kosz na śmieci,Papelera,Poubelle
pacifier,full,,Соска,Pacifier,Schnuller,Smoczek,Chupete,Tétine
sponge,full,,Губка,Sponge,Schwamm,Gąbka,Esponja,Éponge
skirt,full,,Спідниця,Skirt,Rock,Spódnica,Falda,Jupe
sweater,full,,Светр,Sweater,Pullover,Sweter,Jersey,Pull
shorts,full,,Шорти,Shorts,Shorts,Szorty,Pantalón corto,Short
pajamas,full,,Піжама,Pajamas,Schlafanzug,Piżama,Pijama,Pyjama
slippers,full,,Капці,Slippers,Hausschuhe,Kapcie,Pantuflas,Chaussons
bag,full,,Сумка,Bag,Tasche,Torba,Bolso,Sac
bow,full,,Бантик,Bow,Schleife,Kokarda,Lazo,Nœud
button,full,,Ґудзик,Button,Knopf,Guzik,Botón,Bouton
puzzle,full,,Пазл,Puzzle,Puzzle,Puzzle,Puzle,Puzzle
jump_rope,full,,Скакалка,Jump rope,Springseil,Skakanka,Comba,Corde à sauter
sandbox,full,,Пісочниця,Sandbox,Sandkasten,Piaskownica,Arenero,Bac à sable
bubbles,full,,Мильні бульбашки,Bubbles,Seifenblasen,Bańki mydlane,Pompas de jabón,Bulles de savon
paper_plane,full,,Паперовий літачок,Paper plane,Papierflieger,Papierowy samolot,Avión de papel,Avion en papier
sandcastle,full,,Пісочний замок,Sandcastle,Sandburg,Zamek z piasku,Castillo de arena,Château de sable
snowball,full,,Сніжка,Snowball,Schneeball,Śnieżka,Bola de nieve,Boule de neige
play_dough,full,,Пластилін,Plasticine,Knete,Plastelina,Plastilina,Pâte à modeler
excavator,full,,Екскаватор,Excavator,Bagger,Koparka,Excavadora,Pelleteuse
traffic_light,full,,Світлофор,Traffic light,Ampel,Światła,Semáforo,Feu tricolore
wheel,full,,Колесо,Wheel,Rad,Koło,Rueda,Roue
stroller,full,,Візочок,Stroller,Kinderwagen,Wózek,Carrito,Poussette
rain,full,,Дощ,Rain,Regen,Deszcz,Lluvia,Pluie
volcano,full,,Вулкан,Volcano,Vulkan,Wulkan,Volcán,Volcan
dandelion,full,,Кульбаба,Dandelion,Löwenzahn,Mlecz,Diente de león,Pissenlit
palm_tree,full,,Пальма,Palm tree,Palme,Palma,Palmera,Palmier
grass,full,,Трава,Grass,Gras,Trawa,Hierba,Herbe
daisy,full,,Ромашка,Daisy,Gänseblümchen,Stokrotka,Margarita,Marguerite
stone,full,,Камінь,Stone,Stein,Kamień,Piedra,Pierre
leg,full,,Нога,Leg,Bein,Noga,Pierna,Jambe
finger,full,,Палець,Finger,Finger,Palec,Dedo,Doigt
bone,full,,Кістка,Bone,Knochen,Kość,Hueso,Os
chef,full,,Кухар,Chef,Koch,Kucharz,Cocinero,Cuisinier
teacher,full,,Вчителька,Teacher,Lehrerin,Nauczycielka,Maestra,Maîtresse
astronaut,full,,Космонавт,Astronaut,Astronaut,Astronauta,Astronauta,Astronaute
clown,full,,Клоун,Clown,Clown,Klaun,Payaso,Clown
king,full,,Король,King,König,Król,Rey,Roi
queen,full,,Королева,Queen,Königin,Królowa,Reina,Reine
princess,full,,Принцеса,Princess,Prinzessin,Księżniczka,Princesa,Princesse
pirate,full,yes,Пірат,Pirate,Pirat,Pirat,Pirata,Pirate
mom,full,,Мама,Mom,Mama,Mama,Mamá,Maman
dad,full,,Тато,Dad,Papa,Tata,Papá,Papa
mermaid,full,,Русалка,Mermaid,Meerjungfrau,Syrenka,Sirena,Sirène
fairy,full,,Фея,Fairy,Fee,Wróżka,Hada,Fée
pen,full,,Ручка,Pen,Kuli,Długopis,Bolígrafo,Stylo
notebook,full,,Зошит,Notebook,Heft,Zeszyt,Cuaderno,Cahier
paintbrush,full,,Пензлик,Paintbrush,Pinsel,Pędzel,Pincel,Pinceau
paints,full,,Фарби,Paints,Wasserfarben,Farby,Pinturas,Peinture
bell,full,,Дзвоник,Bell,Glocke,Dzwonek,Campana,Cloche
trumpet,full,,Труба,Trumpet,Trompete,Trąbka,Trompeta,Trompette
medal,full,,Медаль,Medal,Medaille,Medal,Medalla,Médaille
tent,full,,Намет,Tent,Zelt,Namiot,Tienda de campaña,Tente
whistle,full,,Свисток,Whistle,Pfeife,Gwizdek,Silbato,Sifflet
flag,full,,Прапорець,Flag,Fahne,Flaga,Bandera,Drapeau
swimming_ring,full,,Надувне коло,Swim ring,Schwimmring,Koło do pływania,Flotador,Bouée
binoculars,full,,Бінокль,Binoculars,Fernglas,Lornetka,Prismáticos,Jumelles
shovel,full,,Лопата,Shovel,Schaufel,Łopata,Pala,Pelle
watering_can,full,,Лійка,Watering can,Gießkanne,Konewka,Regadera,Arrosoir
crown,full,,Корона,Crown,Krone,Korona,Corona,Couronne
christmas_tree,full,,Ялинка,Christmas tree,Weihnachtsbaum,Choinka,Árbol de Navidad,Sapin de Noël
doghouse,full,,Будка,Doghouse,Hundehütte,Buda,Caseta,Niche
worm,full,,Черв'як,Worm,Wurm,Dżdżownica,Gusano,Ver de terre
spiderweb,full,,Павутина,Spiderweb,Spinnennetz,Pajęczyna,Telaraña,Toile d'araignée
guinea_pig,full,,Морська свинка,Guinea pig,Meerschweinchen,Świnka morska,Cobaya,Cochon d'Inde
clownfish,full,,Риба-клоун,Clownfish,Clownfisch,Błazenek,Pez payaso,Poisson-clown
bun,full,,Булочка,Bun,Brötchen,Bułka,Bollo,Petit pain
stairs,full,,Сходи,Stairs,Treppe,Schody,Escalera,Escalier
comb,full,,Гребінець,Comb,Kamm,Grzebień,Peine,Peigne
plaster,full,,Пластир,Bandage,Pflaster,Plaster,Tirita,Pansement
stickers,full,,Наліпки,Stickers,Aufkleber,Naklejki,Pegatinas,Autocollants
stick,full,,Палиця,Stick,Stock,Patyk,Palo,Bâton
envelope,full,,Конверт,Envelope,Briefumschlag,Koperta,Sobre,Enveloppe
face,full,,Обличчя,Face,Gesicht,Twarz,Cara,Visage
belly,full,,Живіт,Belly,Bauch,Brzuch,Barriga,Ventre
skates,full,,Ковзани,Ice skates,Schlittschuhe,Łyżwy,Patines,Patins
trampoline,full,,Батут,Trampoline,Trampolin,Trampolina,Cama elástica,Trampoline
ladder,full,,Драбина,Ladder,Leiter,Drabina,Escalera de mano,Échelle
flashlight,full,,Ліхтарик,Flashlight,Taschenlampe,Latarka,Linterna,Lampe de poche
thread,full,,Нитки,Thread,Faden,Nici,Hilo,Fil
bridge,full,,Міст,Bridge,Brücke,Most,Puente,Pont
fence,full,,Паркан,Fence,Zaun,Płot,Valla,Clôture
carousel,full,,Карусель,Carousel,Karussell,Karuzela,Tiovivo,Manège
school,full,,Школа,School,Schule,Szkoła,Colegio,École
coin,full,,Монета,Coin,Münze,Moneta,Moneda,Pièce
puddle,full,,Калюжа,Puddle,Pfütze,Kałuża,Charco,Flaque
snow,full,,Сніг,Snow,Schnee,Śnieg,Nieve,Neige
forest,full,,Ліс,Forest,Wald,Las,Bosque,Forêt
river,full,,Річка,River,Fluss,Rzeka,Río,Rivière
sea,full,,Море,Sea,Meer,Morze,Mar,Mer
beach,full,,Пляж,Beach,Strand,Plaża,Playa,Plage
fireworks,full,,Феєрверк,Fireworks,Feuerwerk,Fajerwerki,Fuegos artificiales,Feu d'artifice
circus,full,,Цирк,Circus,Zirkus,Cyrk,Circo,Cirque
