id,tier,preview,level,category,uk,en,de,pl,es,fr,draw
walrus,full,,2,animals,Морж,Walrus,Walross,Mors,Morsa,Morse,a brown walrus with long tusks
sloth,full,,2,animals,Лінивець,Sloth,Faultier,Leniwiec,Perezoso,Paresseux,a sloth hanging from a branch
llama,full,,2,animals,Лама,Llama,Lama,Lama,Llama,Lama,a fluffy white llama
chameleon,full,,2,animals,Хамелеон,Chameleon,Chamäleon,Kameleon,Camaleón,Caméléon,a green chameleon with a curled tail
skunk,full,,2,animals,Скунс,Skunk,Stinktier,Skunks,Mofeta,Mouffette,a black skunk with a white stripe
otter,full,,2,animals,Видра,Otter,Otter,Wydra,Nutria,Loutre,a brown otter floating on its back
lynx,full,,2,animals,Рись,Lynx,Luchs,Ryś,Lince,Lynx,a lynx with tufted ears
bison,full,,2,animals,Зубр,Bison,Bison,Żubr,Bisonte,Bison,a big brown bison with a shaggy mane
anteater,full,,2,animals,Мурахоїд,Anteater,Ameisenbär,Mrówkojad,Oso hormiguero,Fourmilier,an anteater with a long snout
dinosaur,full,yes,1,animals,Динозавр,Dinosaur,Dinosaurier,Dinozaur,Dinosaurio,Dinosaure,a friendly green long-necked dinosaur
bird,full,,1,animals,Пташка,Bird,Vogel,Ptak,Pájaro,Oiseau,a small blue bird sitting
owl,full,,1,animals,Сова,Owl,Eule,Sowa,Búho,Hibou,a brown owl with big eyes
eagle,full,,2,animals,Орел,Eagle,Adler,Orzeł,Águila,Aigle,a brown eagle with a white head
sparrow,full,,2,animals,Горобець,Sparrow,Spatz,Wróbel,Gorrión,Moineau,a small brown sparrow
pigeon,full,,1,animals,Голуб,Pigeon,Taube,Gołąb,Paloma,Pigeon,a grey pigeon
crow,full,,2,animals,Ворона,Crow,Krähe,Wrona,Cuervo,Corbeau,a black crow
stork,full,,2,animals,Лелека,Stork,Storch,Bocian,Cigüeña,Cigogne,a white stork with a red beak and long legs
swan,full,,1,animals,Лебідь,Swan,Schwan,Łabędź,Cisne,Cygne,a white swan swimming
peacock,full,,1,animals,Павич,Peacock,Pfau,Paw,Pavo real,Paon,a peacock with an open colorful tail
flamingo,full,,1,animals,Фламінго,Flamingo,Flamingo,Flaming,Flamenco,Flamant rose,a pink flamingo standing on one leg
ostrich,full,,2,animals,Страус,Ostrich,Strauß,Struś,Avestruz,Autruche,an ostrich with a long neck
woodpecker,full,,2,animals,Дятел,Woodpecker,Specht,Dzięcioł,Pájaro carpintero,Pivert,a woodpecker with a red cap on a tree trunk
seagull,full,,2,animals,Чайка,Seagull,Möwe,Mewa,Gaviota,Mouette,a white seagull
toucan,full,,2,animals,Тукан,Toucan,Tukan,Tukan,Tucán,Toucan,a black toucan with a big orange beak
heron,full,,2,animals,Чапля,Heron,Reiher,Czapla,Garza,Héron,a grey heron with long legs
pelican,full,,2,animals,Пелікан,Pelican,Pelikan,Pelikan,Pelícano,Pélican,a white pelican with a big beak pouch
magpie,full,,2,animals,Сорока,Magpie,Elster,Sroka,Urraca,Pie,a black and white magpie with a long tail
cuckoo,full,,2,animals,Зозуля,Cuckoo,Kuckuck,Kukułka,Cuco,Coucou,a grey cuckoo bird
nest,full,,1,animals,Гніздо,Nest,Nest,Gniazdo,Nido,Nid,a bird nest with three eggs
feather,full,,1,animals,Перо,Feather,Feder,Pióro,Pluma,Plume,a single colorful feather
fish,free,,1,animals,Риба,Fish,Fisch,Ryba,Pez,Poisson,an orange fish
whale,full,,1,animals,Кит,Whale,Wal,Wieloryb,Ballena,Baleine,a blue whale with a water spout
dolphin,full,,1,animals,Дельфін,Dolphin,Delfin,Delfin,Delfín,Dauphin,a grey dolphin jumping
shark,full,,1,animals,Акула,Shark,Hai,Rekin,Tiburón,Requin,"a grey shark, friendly"
octopus,full,,1,animals,Восьминіг,Octopus,Krake,Ośmiornica,Pulpo,Pieuvre,a purple octopus with eight arms
crab,full,,1,animals,Краб,Crab,Krabbe,Krab,Cangrejo,Crabe,a red crab with claws
jellyfish,full,,2,animals,Медуза,Jellyfish,Qualle,Meduza,Medusa,Méduse,a pink jellyfish
starfish,full,,1,animals,Морська зірка,Starfish,Seestern,Rozgwiazda,Estrella de mar,Étoile de mer,an orange starfish
seahorse,full,,2,animals,Морський коник,Seahorse,Seepferdchen,Konik morski,Caballito de mar,Hippocampe,a yellow seahorse
seashell,full,,1,animals,Мушля,Seashell,Muschel,Muszla,Concha,Coquillage,a spiral seashell
shrimp,full,,2,animals,Креветка,Shrimp,Garnele,Krewetka,Gamba,Crevette,a pink shrimp
coral,full,,2,animals,Корал,Coral,Koralle,Koral,Coral,Corail,a branch of red coral
butterfly,full,,1,animals,Метелик,Butterfly,Schmetterling,Motyl,Mariposa,Papillon,a colorful butterfly with open wings
bee,full,,1,animals,Бджола,Bee,Biene,Pszczoła,Abeja,Abeille,a yellow and black striped bee
ladybug,full,,1,animals,Сонечко,Ladybug,Marienkäfer,Biedronka,Mariquita,Coccinelle,a red ladybug with black dots
ant,full,,1,animals,Мураха,Ant,Ameise,Mrówka,Hormiga,Fourmi,a black ant
spider,full,,1,animals,Павук,Spider,Spinne,Pająk,Araña,Araignée,a small friendly black spider
snail,full,,1,animals,Равлик,Snail,Schnecke,Ślimak,Caracol,Escargot,a snail with a spiral shell
worm,full,,1,animals,Черв'як,Worm,Wurm,Dżdżownica,Gusano,Ver de terre,a pink earthworm
caterpillar,full,,1,animals,Гусениця,Caterpillar,Raupe,Gąsienica,Oruga,Chenille,a green caterpillar
dragonfly,full,,2,animals,Бабка,Dragonfly,Libelle,Ważka,Libélula,Libellule,a blue dragonfly with four wings
grasshopper,full,,2,animals,Коник,Grasshopper,Heuschrecke,Konik polny,Saltamontes,Sauterelle,a green grasshopper
fly,full,,2,animals,Муха,Fly,Fliege,Mucha,Mosca,Mouche,a housefly
mosquito,full,,2,animals,Комар,Mosquito,Mücke,Komar,Mosquito,Moustique,a mosquito with long legs
beetle,full,,1,animals,Жук,Beetle,Käfer,Chrząszcz,Escarabajo,Scarabée,a shiny green beetle
bumblebee,full,,2,animals,Джміль,Bumblebee,Hummel,Trzmiel,Abejorro,Bourdon,a fuzzy round bumblebee
spiderweb,full,,1,animals,Павутина,Spiderweb,Spinnennetz,Pajęczyna,Telaraña,Toile d'araignée,a round spiderweb
puppy,full,,1,animals,Цуценя,Puppy,Welpe,Szczeniak,Cachorro,Chiot,a small puppy with floppy ears
kitten,full,,1,animals,Кошеня,Kitten,Kätzchen,Kotek,Gatito,Chaton,a tiny kitten playing with a ball of yarn
pony,full,,1,animals,Поні,Pony,Pony,Kucyk,Poni,Poney,a small pony with a colorful mane
lamb,full,,2,animals,Ягня,Lamb,Lamm,Jagnię,Cordero,Agneau,a small white lamb
guinea_pig,full,,1,animals,Морська свинка,Guinea pig,Meerschweinchen,Świnka morska,Cobaya,Cochon d'Inde,a guinea pig
rat,full,,2,animals,Щур,Rat,Ratte,Szczur,Rata,Rat,"a grey rat with a long tail, friendly"
canary,full,,2,animals,Канарка,Canary,Kanarienvogel,Kanarek,Canario,Canari,a yellow canary
scarecrow,full,,2,animals,Опудало,Scarecrow,Vogelscheuche,Strach na wróble,Espantapájaros,Épouvantail,a friendly scarecrow in a field
cheetah,full,,2,animals,Гепард,Cheetah,Gepard,Gepard,Guepardo,Guépard,a cheetah running
orangutan,full,,2,animals,Орангутан,Orangutan,Orang-Utan,Orangutan,Orangután,Orang-outan,an orange orangutan
lemur,full,,2,animals,Лемур,Lemur,Lemur,Lemur,Lémur,Lémurien,a lemur with a striped tail
hyena,full,,2,animals,Гієна,Hyena,Hyäne,Hiena,Hiena,Hyène,a spotted hyena
platypus,full,,2,animals,Качкодзьоб,Platypus,Schnabeltier,Dziobak,Ornitorrinco,Ornithorynque,a platypus with a duck bill
badger,full,,2,animals,Борсук,Badger,Dachs,Borsuk,Tejón,Blaireau,a badger with a striped face
porcupine,full,,2,animals,Дикобраз,Porcupine,Stachelschwein,Jeżozwierz,Puercoespín,Porc-épic,a porcupine with long quills
armadillo,full,,2,animals,Броненосець,Armadillo,Gürteltier,Pancernik,Armadillo,Tatou,an armadillo
tadpole,full,,2,animals,Пуголовок,Tadpole,Kaulquappe,Kijanka,Renacuajo,Têtard,a black tadpole swimming
buffalo,full,,2,animals,Буйвол,Buffalo,Büffel,Bawół,Búfalo,Buffle,a water buffalo with curved horns
antelope,full,,2,animals,Антилопа,Antelope,Antilope,Antylopa,Antílope,Antilope,an antelope with long horns
meerkat,full,,2,animals,Сурикат,Meerkat,Erdmännchen,Surykatka,Suricata,Suricate,a meerkat standing upright
chipmunk,full,,2,animals,Бурундук,Chipmunk,Streifenhörnchen,Pręgowiec,Ardilla listada,Tamia,a chipmunk with stripes on its back
iguana,full,,2,animals,Ігуана,Iguana,Leguan,Legwan,Iguana,Iguane,a green iguana
narwhal,full,,2,animals,Нарвал,Narwhal,Narwal,Narwal,Narval,Narval,a narwhal with a long tusk
hare,full,,1,animals,Заєць,Hare,Hase,Zając,Liebre,Lièvre,a brown hare running
hummingbird,full,,2,animals,Колібрі,Hummingbird,Kolibri,Koliber,Colibrí,Colibri,a hummingbird near a flower
bullfinch,full,,2,animals,Снігур,Bullfinch,Gimpel,Gil,Camachuelo,Bouvreuil,a bullfinch with a red chest on a snowy branch
eggshell,full,,2,animals,Шкаралупа,Eggshell,Eierschale,Skorupka,Cáscara de huevo,Coquille d'œuf,a cracked eggshell
squid,full,,2,animals,Кальмар,Squid,Tintenfisch,Kałamarnica,Calamar,Calmar,a squid
lobster,full,,2,animals,Омар,Lobster,Hummer,Homar,Langosta,Homard,a red lobster
sea_urchin,full,,2,animals,Морський їжак,Sea urchin,Seeigel,Jeżowiec,Erizo de mar,Oursin,a spiky purple sea urchin
orca,full,,2,animals,Косатка,Orca,Orca,Orka,Orca,Orque,a black and white orca
stingray,full,,2,animals,Скат,Stingray,Rochen,Płaszczka,Raya,Raie,a stingray
pufferfish,full,,2,animals,Риба-їжак,Pufferfish,Kugelfisch,Rozdymka,Pez globo,Poisson-globe,a round spiky pufferfish
clownfish,full,,1,animals,Риба-клоун,Clownfish,Clownfisch,Błazenek,Pez payaso,Poisson-clown,an orange and white striped clownfish
seaweed,full,,2,animals,Водорості,Seaweed,Seetang,Wodorosty,Algas,Algues,green seaweed
firefly,full,,2,animals,Світлячок,Firefly,Glühwürmchen,Świetlik,Luciérnaga,Luciole,a glowing firefly
wasp,full,,2,animals,Оса,Wasp,Wespe,Osa,Avispa,Guêpe,a wasp
centipede,full,,2,animals,Багатоніжка,Centipede,Tausendfüßler,Stonoga,Ciempiés,Mille-pattes,a centipede with many legs
reindeer,full,,2,animals,Північний олень,Reindeer,Rentier,Renifer,Reno,Renne,a reindeer with big antlers
mammoth,full,,2,animals,Мамонт,Mammoth,Mammut,Mamut,Mamut,Mammouth,a woolly mammoth with curved tusks
scorpion,full,,2,animals,Скорпіон,Scorpion,Skorpion,Skorpion,Escorpión,Scorpion,a friendly cartoon scorpion
swallow,full,,2,animals,Ластівка,Swallow,Schwalbe,Jaskółka,Golondrina,Hirondelle,a swallow with a forked tail flying
tit,full,,2,animals,Синиця,Great tit,Kohlmeise,Sikorka,Carbonero,Mésange,a yellow-breasted great tit on a branch
cockatoo,full,,2,animals,Какаду,Cockatoo,Kakadu,Kakadu,Cacatúa,Cacatoès,a white cockatoo with a yellow crest
swordfish,full,,2,animals,Риба-меч,Swordfish,Schwertfisch,Miecznik,Pez espada,Espadon,a swordfish with a long pointed nose
pearl,full,,2,animals,Перлина,Pearl,Perle,Perła,Perla,Perle,a white pearl in an open shell
aquarium,full,,2,animals,Акваріум,Aquarium,Aquarium,Akwarium,Acuario,Aquarium,a rectangular aquarium with fish and plants
anthill,full,,2,animals,Мурашник,Anthill,Ameisenhaufen,Mrowisko,Hormiguero,Fourmilière,an anthill with ants
apple,free,,1,food,Яблуко,Apple,Apfel,Jabłko,Manzana,Pomme,a red apple with a leaf
banana,free,,1,food,Банан,Banana,Banane,Banan,Plátano,Banane,a yellow banana
pear,full,,1,food,Груша,Pear,Birne,Gruszka,Pera,Poire,a green pear
orange,full,,1,food,Апельсин,Orange,Orange,Pomarańcza,Naranja,Orange,a whole orange with a leaf
lemon,full,,1,food,Лимон,Lemon,Zitrone,Cytryna,Limón,Citron,a yellow lemon
grapes,full,,1,food,Виноград,Grapes,Weintrauben,Winogrona,Uvas,Raisin,a bunch of purple grapes
strawberry,full,,1,food,Полуниця,Strawberry,Erdbeere,Truskawka,Fresa,Fraise,a red strawberry
cherry,full,,1,food,Вишня,Cherry,Kirsche,Wiśnia,Cereza,Cerise,two red cherries on stems
watermelon,free,,1,food,Кавун,Watermelon,Wassermelone,Arbuz,Sandía,Pastèque,a slice of watermelon with seeds
melon,full,,2,food,Диня,Melon,Honigmelone,Melon,Melón,Melon,a yellow oval melon
peach,full,,1,food,Персик,Peach,Pfirsich,Brzoskwinia,Melocotón,Pêche,a round peach with a leaf
plum,full,,2,food,Слива,Plum,Pflaume,Śliwka,Ciruela,Prune,a purple plum
apricot,full,,2,food,Абрикос,Apricot,Aprikose,Morela,Albaricoque,Abricot,an orange apricot
pineapple,full,,1,food,Ананас,Pineapple,Ananas,Ananas,Piña,Ananas,a pineapple with green leaves
kiwi,full,,2,food,Ківі,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,a kiwi fruit cut in half
mango,full,,2,food,Манго,Mango,Mango,Mango,Mango,Mangue,a yellow-red mango
coconut,full,,2,food,Кокос,Coconut,Kokosnuss,Kokos,Coco,Noix de coco,a brown coconut cut open
raspberry,full,,1,food,Малина,Raspberry,Himbeere,Malina,Frambuesa,Framboise,a red raspberry
blueberry,full,,2,food,Чорниця,Blueberry,Heidelbeere,Borówka,Arándano,Myrtille,a small pile of blueberries
pomegranate,full,,2,food,Гранат,Pomegranate,Granatapfel,Granat,Granada,Grenade,a red pomegranate cut open
avocado,full,,2,food,Авокадо,Avocado,Avocado,Awokado,Aguacate,Avocat,an avocado cut in half with the pit
tangerine,full,,1,food,Мандарин,Tangerine,Mandarine,Mandarynka,Mandarina,Mandarine,a small peeled tangerine with segments
carrot,free,,1,food,Морква,Carrot,Karotte,Marchewka,Zanahoria,Carotte,an orange carrot with green top
tomato,full,,1,food,Помідор,Tomato,Tomate,Pomidor,Tomate,Tomate,a red tomato
cucumber,full,,1,food,Огірок,Cucumber,Gurke,Ogórek,Pepino,Concombre,a green cucumber
potato,full,,1,food,Картопля,Potato,Kartoffel,Ziemniak,Patata,Pomme de terre,a brown potato
onion,full,,1,food,Цибуля,Onion,Zwiebel,Cebula,Cebolla,Oignon,a golden onion
garlic,full,,2,food,Часник,Garlic,Knoblauch,Czosnek,Ajo,Ail,a white head of garlic
cabbage,full,,1,food,Капуста,Cabbage,Kohl,Kapusta,Col,Chou,a green head of cabbage
corn,full,,1,food,Кукурудза,Corn,Mais,Kukurydza,Maíz,Maïs,a yellow corn cob with husk
pumpkin,full,,1,food,Гарбуз,Pumpkin,Kürbis,Dynia,Calabaza,Citrouille,an orange pumpkin
bell_pepper,full,,1,food,Перець,Pepper,Paprika,Papryka,Pimiento,Poivron,a red bell pepper
eggplant,full,,2,food,Баклажан,Eggplant,Aubergine,Bakłażan,Berenjena,Aubergine,a purple eggplant
peas,full,,1,food,Горох,Peas,Erbsen,Groszek,Guisantes,Petits pois,an open green pea pod with peas
beet,full,,2,food,Буряк,Beet,Rote Bete,Burak,Remolacha,Betterave,a dark red beet with leaves
broccoli,full,,1,food,Броколі,Broccoli,Brokkoli,Brokuł,Brócoli,Brocoli,a green broccoli floret
radish,full,,2,food,Редиска,Radish,Radieschen,Rzodkiewka,Rábano,Radis,a red radish with leaves
mushroom,full,,1,food,Гриб,Mushroom,Pilz,Grzyb,Seta,Champignon,a mushroom with a brown cap
walnut,full,,2,food,Горіх,Nut,Nuss,Orzech,Nuez,Noix,a walnut in its shell
acorn,full,,2,food,Жолудь,Acorn,Eichel,Żołądź,Bellota,Gland,an acorn with its cap
chestnut,full,,2,food,Каштан,Chestnut,Kastanie,Kasztan,Castaña,Châtaigne,a shiny brown chestnut
bread,full,,1,food,Хліб,Bread,Brot,Chleb,Pan,Pain,a loaf of bread
egg,full,,1,food,Яйце,Egg,Ei,Jajko,Huevo,Œuf,a white egg
fried_egg,full,,2,food,Яєчня,Fried egg,Spiegelei,Jajko sadzone,Huevo frito,Œuf au plat,a fried egg on a pan
cheese,full,,1,food,Сир,Cheese,Käse,Ser,Queso,Fromage,a wedge of yellow cheese with holes
milk,full,,1,food,Молоко,Milk,Milch,Mleko,Leche,Lait,a carton of milk
soup,full,,1,food,Суп,Soup,Suppe,Zupa,Sopa,Soupe,a bowl of hot soup
pizza,full,,1,food,Піца,Pizza,Pizza,Pizza,Pizza,Pizza,a round pizza
sandwich,full,,1,food,Бутерброд,Sandwich,Sandwich,Kanapka,Sándwich,Sandwich,a sandwich with cheese and lettuce
sausage,full,,1,food,Сосиска,Sausage,Würstchen,Parówka,Salchicha,Saucisse,a sausage on a fork
pasta,full,,1,food,Макарони,Pasta,Nudeln,Makaron,Espaguetis,Pâtes,a plate of spaghetti
rice,full,,2,food,Рис,Rice,Reis,Ryż,Arroz,Riz,a bowl of white rice
pancake,full,,1,food,Млинці,Pancakes,Pfannkuchen,Naleśniki,Tortitas,Crêpes,a stack of pancakes
hamburger,full,,1,food,Гамбургер,Burger,Hamburger,Hamburger,Hamburguesa,Hamburger,a hamburger
hot_dog,full,,2,food,Хот-дог,Hot dog,Hotdog,Hot dog,Perrito caliente,Hot-dog,a hot dog in a bun
honey,full,,1,food,Мед,Honey,Honig,Miód,Miel,Miel,a jar of honey with a dipper
salad,full,,2,food,Салат,Salad,Salat,Sałatka,Ensalada,Salade,a bowl of green salad
yogurt,full,,2,food,Йогурт,Yogurt,Joghurt,Jogurt,Yogur,Yaourt,a cup of yogurt with a spoon
pie,full,,2,food,Пиріг,Pie,Kuchen,Placek,Pastel,Tarte,a round fruit pie
waffle,full,,2,food,Вафля,Waffle,Waffel,Gofr,Gofre,Gaufre,a square waffle
pretzel,full,,2,food,Крендель,Pretzel,Brezel,Precel,Pretzel,Bretzel,a salted pretzel
bagel,full,,2,food,Бублик,Bagel,Bagel,Bajgiel,Bagel,Bagel,a bagel with sesame seeds
croissant,full,,2,food,Круасан,Croissant,Croissant,Rogalik,Cruasán,Croissant,a golden croissant
bun,full,,1,food,Булочка,Bun,Brötchen,Bułka,Bollo,Petit pain,a round bread bun
baguette,full,,2,food,Багет,Baguette,Baguette,Bagietka,Barra de pan,Baguette,a long baguette
cake,free,,1,food,Торт,Cake,Torte,Tort,Tarta,Gâteau,a birthday cake with candles
cookie,full,,1,food,Печиво,Cookie,Keks,Ciastko,Galleta,Biscuit,a round cookie with chocolate chips
candy,full,,1,food,Цукерка,Candy,Bonbon,Cukierek,Caramelo,Bonbon,a wrapped candy
ice_cream,free,,1,food,Морозиво,Ice cream,Eis,Lody,Helado,Glace,an ice cream cone with two scoops
chocolate,full,,1,food,Шоколад,Chocolate,Schokolade,Czekolada,Chocolate,Chocolat,"a chocolate bar, partly unwrapped"
lollipop,full,,1,food,Льодяник,Lollipop,Lutscher,Lizak,Piruleta,Sucette,a round swirl lollipop
donut,full,,1,food,Пончик,Donut,Donut,Pączek,Dónut,Beignet,a pink glazed donut with sprinkles
popcorn,full,,1,food,Попкорн,Popcorn,Popcorn,Popcorn,Palomitas,Pop-corn,a striped box of popcorn
cotton_candy,full,,2,food,Цукрова вата,Cotton candy,Zuckerwatte,Wata cukrowa,Algodón de azúcar,Barbe à papa,pink cotton candy on a stick
cupcake,full,,2,food,Кекс,Cupcake,Muffin,Babeczka,Magdalena,Cupcake,a cupcake with frosting
juice,full,,1,food,Сік,Juice,Saft,Sok,Zumo,Jus,a glass of orange juice with a straw
tea,full,,2,food,Чай,Tea,Tee,Herbata,Té,Thé,a cup of tea with a tea bag
cocoa,full,,2,food,Какао,Cocoa,Kakao,Kakao,Cacao,Chocolat chaud,a mug of hot cocoa
lemonade,full,,2,food,Лимонад,Lemonade,Limonade,Lemoniada,Limonada,Limonade,a glass of lemonade with ice and a lemon slice
fig,full,,2,food,Інжир,Fig,Feige,Figa,Higo,Figue,a purple fig cut open
grapefruit,full,,2,food,Грейпфрут,Grapefruit,Grapefruit,Grejpfrut,Pomelo,Pamplemousse,a grapefruit cut in half
blackberry,full,,2,food,Ожина,Blackberry,Brombeere,Jeżyna,Mora,Mûre,a blackberry
currant,full,,2,food,Смородина,Currant,Johannisbeere,Porzeczka,Grosella,Groseille,a bunch of red currants
zucchini,full,,2,food,Кабачок,Zucchini,Zucchini,Cukinia,Calabacín,Courgette,a green zucchini
cauliflower,full,,2,food,Цвітна капуста,Cauliflower,Blumenkohl,Kalafior,Coliflor,Chou-fleur,a white cauliflower
chili,full,,2,food,Перець чилі,Chili pepper,Chili,Papryczka chili,Guindilla,Piment,a red chili pepper
dill,full,,2,food,Кріп,Dill,Dill,Koperek,Eneldo,Aneth,a bunch of dill
beans,full,,2,food,Квасоля,Beans,Bohnen,Fasola,Judías,Haricots,a pile of red beans
peanut,full,,2,food,Арахіс,Peanut,Erdnuss,Orzeszek ziemny,Cacahuete,Cacahuète,a peanut in its shell
olive,full,,2,food,Оливка,Olive,Olive,Oliwka,Aceituna,Olive,two green olives on a branch
turnip,full,,2,food,Ріпка,Turnip,Rübe,Rzepa,Nabo,Navet,a round yellow turnip with leaves
